x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
407 1500 2405 1140 2020 3379 3559 355 276.5 242.5
408 1000 2091.5 1207 1812 1905.5 1727.5 222.5 211 210.5
409 1000 1862.5 1025.5 1680 1826.5 1710.5 241.5 206 228
410 1000 1851.5 1030.5 1694 1775.5 1822 216 209.5 273
411 1500 2523 1542.5 2439 1790.5 2087 217.5 206.5 206
412 1000 2504 1442.5 3350 2499 2864 230 215.5 232.5
413 1000 2302.5 1239.5 1758.5 1778 1850 240 223 222
414 1000 1937.5 1140 1765.5 1783.5 1764.5 229 217.5 217
415 1000 1817.5 1033.5 1718 1734 1717.5 224.5 217.5 217.5
416 1000 2023.5 1455.5 2545.5 2130 1731.5 517.5 209.5 263
417 1500 3021 1623.5 2315 3348.5 2134.5 229.5 286.5 273
418 1500 2423 1145.5 1832.5 1769 2010.5 272 219 218.5
419 1000 2269 1183 1777 1811 1888.5 255 237.5 234
420 1000 1968.5 1797 2863 2157.5 2033 235.5 223 222.5
421 1000 2230 1576.5 2544 2605.5 2406.5 306 289.5 265.5
422 1500 2601.5 1689.5 2390 2127.5 1933 238 231.5 210.5
423 1000 1918 1062 1791 1814 1814.5 255 227 236
424 1000 1950 1080.5 1815 2484.5 2549 308.5 313.5 306
425 2000 2404 1141 2121 2419 2315.5 345.5 332 331.5
426 2000 2198.5 1187 1995.5 2148.5 2559 269 228.5 217
427 1000 2565 1210.5 2433 2352.5 1912.5 227 215 216.5
428 1000 1939 1098.5 1851.5 1888 1917.5 232 219.5 219
429 1000 2733 1532 2639 2393 2514 332.5 323.5 327.5
430 1500 2225.5 1528 2486 1896.5 1884 229.5 228 216
431 1000 2064 1167 2409.5 2528.5 2368.5 316 284 335.5
432 2000 2425.5 1131.5 1879 1879.5 1887 245.5 216.5 230.5
433 1000 2012.5 1184 2663 2528.5 2509 311.5 274 229
434 1000 2612 1265 2486 2583 2192 228.5 217 219.5
435 1000 2065 1251 2019 1901.5 1892.5 230 239 227
436 1000 2533.5 1507 2429.5 4616 2559 331 291.5 280.5
